
Host: Jonathans-MBP-2

Timers On : Sun May 16 19:37:25 2021
Timers Off: Sun May 16 19:39:10 2021

Wall Time:      105.63 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: D                               :      0.000u      0.000s      0.000w     45 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     45 calls
JK: JK                              :      0.017u      0.000s      0.004w     45 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.004w     45 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     45 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     45 calls
DFH: compute_K                      :      0.017u      0.000s      0.002w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     45 calls
HF: Form F                          :      0.000u      0.000s      0.000w     45 calls
HF: DIIS                            :      0.033u      0.000s      0.021w     44 calls
DIISManager::add_entry              :      0.000u      0.000s      0.003w     41 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.002w     41 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     41 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     41 calls
New vector                          :      0.000u      0.000s      0.000w     41 calls
HF: Form C                          :      0.000u      0.000s      0.002w     44 calls
HF: Form D                          :      0.000u      0.000s      0.000w     45 calls
Grad: V T Perturb                   :      0.150u      0.033s      0.115w      4 calls
Grad: S                             :      0.000u      0.000s      0.000w      4 calls
Grad: JK                            :      0.167u      0.033s      0.104w      4 calls
JKGrad: Amn                         :      0.050u      0.000s      0.024w      4 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      4 calls
JKGrad: AB                          :      0.017u      0.017s      0.019w      4 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      4 calls
JKGrad: ABx                         :      0.033u      0.000s      0.010w      4 calls
JKGrad: Amnx                        :      0.067u      0.000s      0.044w      4 calls
Grad: XC                            :      0.000u      0.000s      0.000w      4 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.017s      0.031w      5 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.021w      5 calls
DFH: initialize()                   :      0.083u      0.000s      0.063w      5 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.010w     10 calls
| DFH: AO Construction              :      0.000u      0.000s      0.010w      5 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.001w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.050u      0.017s      0.032w      5 calls
| SAD Guess                         :      0.050u      0.017s      0.030w      1 calls
HF: Form G                          :      0.017u      0.000s      0.006w     45 calls
| JK: D                             :      0.000u      0.000s      0.000w     45 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     45 calls
| JK: JK                            :      0.017u      0.000s      0.004w     45 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.004w     45 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     45 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     45 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.002w     45 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     45 calls
HF: Form F                          :      0.000u      0.000s      0.000w     45 calls
HF: DIIS                            :      0.033u      0.000s      0.021w     44 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.003w     41 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.002w     41 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     41 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     41 calls
| | New vector                      :      0.000u      0.000s      0.000w     41 calls
HF: Form C                          :      0.000u      0.000s      0.002w     44 calls
HF: Form D                          :      0.000u      0.000s      0.000w     45 calls
Grad: V T Perturb                   :      0.150u      0.033s      0.115w      4 calls
Grad: S                             :      0.000u      0.000s      0.000w      4 calls
Grad: JK                            :      0.167u      0.033s      0.104w      4 calls
| JKGrad: Amn                       :      0.050u      0.000s      0.024w      4 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.007w      4 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      4 calls
| JKGrad: AB                        :      0.017u      0.017s      0.019w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      4 calls
| JKGrad: ABx                       :      0.033u      0.000s      0.010w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      4 calls
| JKGrad: Amnx                      :      0.067u      0.000s      0.044w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.009w      4 calls
Grad: XC                            :      0.000u      0.000s      0.000w      4 calls

**************************************************************************************
